,year,file,industry,sic_code,sic_cat
0,1995,1995-02-10_60026,GUIDED MISSILES & SPACE VEHICLES & PARTS,3760,Manufacturing
1,1995,1995-02-10_897599,ELECTRONIC COMPONENTS & ACCESSORIES,3670,Manufacturing
2,1995,1995-03-13_63506,TRUCKING & COURIER SERVICES (NO AIR),4210,Transportation
3,1995,1995-03-16_106015,"OIL, GAS FIELD SERVICES, NBC",1389,Mining
4,1995,1995-03-16_864328,"OIL, GAS FIELD SERVICES, NBC",1389,Mining
5,1995,1995-04-04_4960,"SAUSAGE, OTHER PREPARED MEAT PRODUCTS",2013,Manufacturing
6,1995,1995-04-10_351547,NATURAL GAS DISTRIBUTION,4924,Transportation
7,1995,1995-04-18_726957,NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING,2711,Manufacturing
8,1995,1995-04-26_847322,ASSET-BACKED SECURITIES,6189,"Finance, Insurance and Real Estate"
9,1995,1995-04-28_814577,GOLD & SILVER ORES,1040,Mining
10,1995,1995-05-04_65660,NATIONAL COMMERCIAL BANKS,6021,"Finance, Insurance and Real Estate"
11,1995,1995-05-09_724176,CRUDE PETROLEUM & NATURAL GAS,1311,Mining
12,1995,1995-06-02_65771,SEMICONDUCTORS & RELATED DEVICES,3674,Manufacturing
13,1995,1995-06-14_13006,PHARMACEUTICAL PREPARATIONS,2834,Manufacturing
14,1995,1995-06-14_351993,WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS),5172,Wholesale Trade
15,1995,1995-06-28_726606,HOSPITAL & MEDICAL SERVICE PLANS,6324,"Finance, Insurance and Real Estate"
16,1995,1995-08-03_768680,REAL ESTATE INVESTMENT TRUSTS,6798,"Finance, Insurance and Real Estate"
17,1995,1995-08-04_737203,WHOLESALE-DRUGS PROPRIETARIES & DRUGGISTS' SUNDRIES,5122,Wholesale Trade
18,1995,1995-08-14_818075,NATURAL GAS TRANSMISSION,4922,Transportation
19,1995,1995-08-21_795265,RADIO TELEPHONE COMMUNICATIONS,4812,Transportation
20,1995,1995-08-22_92342,LIFE INSURANCE,6311,"Finance, Insurance and Real Estate"
21,1995,1995-08-29_716615,STATE COMMERCIAL BANKS,6022,"Finance, Insurance and Real Estate"
22,1995,1995-09-05_59498,TELEVISION BROADCASTING STATIONS,4833,Transportation
23,1995,1995-09-05_766588,WHOLESALE-COMPUTER & PERIPHERAL EQUIPMENT & SOFTWARE,5045,Wholesale Trade
24,1995,1995-09-07_77231,GAS & OTHER SERVICES COMBINED,4932,Transportation
25,1995,1995-09-07_77242,GAS & OTHER SERVICES COMBINED,4932,Transportation
26,1995,1995-09-07_801321,"FIRE, MARINE & CASUALTY INSURANCE",6331,"Finance, Insurance and Real Estate"
27,1995,1995-09-18_353020,"WATER, SEWER, PIPELINE, COMM AND POWER LINE CONSTRUCTION",1623,Construction
28,1995,1995-09-18_807903,CONSTRUCTION SPECIAL TRADE CONTRACTORS,1700,Construction
29,1995,1995-09-21_318771,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS,2833,Manufacturing
30,1995,1995-09-21_793523,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,3845,Manufacturing
31,1995,1995-10-02_5405,GRAIN MILL PRODUCTS,2040,Manufacturing
